"관리번호","자치구","와이파이명","도로명주소","상세주소","설치위치(층)","설치유형","설치기관","서비스구분","망종류","설치년도","실내외구분","wifi접속환경","X좌표","Y좌표","작업일자"
"GS060008","강서구","보건소","염창동 275-12  지하 전기실","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2016","실내","","126.85257","37.563313","2022-03-06 10:57:52.0"
"GS060009","강서구","화곡보건분소","화곡1동 366-1  정면 2층  외벽","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.84105","37.5355","2022-03-06 10:57:52.0"
"GS060010","강서구","화곡1동","화곡1동 425-4  3층 꿈터작은도서관","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2013","실내","","126.8415","37.53069","2022-03-06 10:57:52.0"
"GS060011","강서구","화곡1동","화곡1동 425-4  지하1층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2016","실내","","126.8415","37.53069","2022-03-06 10:57:52.0"
"GS060012","강서구","화곡1동","화곡1동 425-4  1층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2017","실내","","126.85445","37.53205","2022-03-06 10:57:52.0"
"GS060013","강서구","화곡1동","화곡1동 425-4  2층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2018","실내","","126.85445","37.53205","2022-03-06 10:57:52.0"
"GS060014","강서구","화곡1동","화곡1동 425-4  외부 후면","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.841576","37.53033","2022-03-06 10:57:52.0"
"GS060015","강서구","화곡1동","화곡1동 425-4  외부 정면","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.84158","37.530506","2022-03-06 10:57:52.0"
"GS060023","강서구","화곡1동","화곡1동 1078-27 CCTV","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84116","37.540554","2022-03-06 10:57:52.0"
"GS060024","강서구","화곡1동","화곡동 1070-39","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83423","37.539253","2022-03-06 10:57:52.0"
"GS060025","강서구","화곡1동","화곡동 1087","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83473","37.538513","2022-03-06 10:57:52.0"
"GS060026","강서구","화곡1동","화곡동 1088-2","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8351","37.53779","2022-03-06 10:57:52.0"
"GS060027","강서구","화곡1동","화곡동 1072-22","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.835884","37.539547","2022-03-06 10:57:52.0"
"GS060028","강서구","화곡1동","화곡동 1086-24","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.836205","37.5386","2022-03-06 10:57:52.0"
"GS060029","강서구","화곡1동","화곡1동 379-50","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83694","37.537975","2022-03-06 10:57:52.0"
"GS060030","강서구","화곡1동","화곡동 381-12","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83923","37.538937","2022-03-06 10:57:52.0"
"GS060031","강서구","화곡1동","화곡1동 662-26","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.841","37.539917","2022-03-06 10:57:52.0"
"GS060032","강서구","화곡1동","화곡동 400-41","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84179","37.538635","2022-03-06 10:57:52.0"
"GS060033","강서구","화곡1동","화곡동 369-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83926","37.536175","2022-03-06 10:57:52.0"
"GS060034","강서구","화곡1동","화곡동 362-169","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83982","37.535206","2022-03-06 10:57:52.0"
"GS060036","강서구","화곡1동","화곡동 352-48","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84144","37.535324","2022-03-06 10:57:52.0"
"GS060037","강서구","화곡1동","화곡동 351-25","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.843","37.534534","2022-03-06 10:57:52.0"
"GS060038","강서구","화곡1동","화곡동 362-102","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83986","37.53373","2022-03-06 10:57:52.0"
"GS060039","강서구","화곡1동","화곡동 366-98","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84213","37.534107","2022-03-06 10:57:52.0"
"GS060040","강서구","화곡1동","화곡동 357-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83895","37.53047","2022-03-06 10:57:52.0"
"GS060041","강서구","화곡1동","화곡동 358-12","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83903","37.53183","2022-03-06 10:57:52.0"
"GS060042","강서구","화곡1동","화곡동 354-61","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.839455","37.53234","2022-03-06 10:57:52.0"
"GS060043","강서구","까치어린이공원","화곡동 354-30","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8421","37.533325","2022-03-06 10:57:52.0"
"GS060044","강서구","화곡1동","화곡동 350-28","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84429","37.53377","2022-03-06 10:57:52.0"
"GS060045","강서구","화곡1동","화곡동 349-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8438","37.53318","2022-03-06 10:57:52.0"
"GS060046","강서구","화곡1동","화곡동 348-33","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84448","37.53223","2022-03-06 10:57:52.0"
"GS060047","강서구","화곡1동","화곡동 343-30","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84583","37.531876","2022-03-06 10:57:52.0"
"GS060048","강서구","화곡1동","화곡동 346-85","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84325","37.5318","2022-03-06 10:57:52.0"
"GS060049","강서구","화곡1동","화곡동 422-6","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84222","37.53215","2022-03-06 10:57:52.0"
"GS060050","강서구","화곡1동","화곡동 424-34","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84133","37.532043","2022-03-06 10:57:52.0"
"GS060051","강서구","화곡1동","화곡동 355-45","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.839714","37.531166","2022-03-06 10:57:52.0"
"GS060052","강서구","화곡1동","화곡동 357-7","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.838486","37.530804","2022-03-06 10:57:52.0"
"GS060053","강서구","화곡1동","화곡동 357-14","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83895","37.53047","2022-03-06 10:57:52.0"
"GS060054","강서구","화곡1동","화곡동 424-86","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.840546","37.530632","2022-03-06 10:57:52.0"
"GS060055","강서구","화곡1동","화곡동 426-5","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8425","37.530674","2022-03-06 10:57:52.0"
"GS060056","강서구","화곡1동","화곡동 343-19","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84543","37.530922","2022-03-06 10:57:52.0"
"GS060057","강서구","화곡1동","화곡동 343-64","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84644","37.53116","2022-03-06 10:57:52.0"
"GS060058","강서구","화곡1동","화곡동 918-24","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84509","37.530067","2022-03-06 10:57:52.0"
"GS060059","강서구","화곡1동","화곡동 925-7","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84291","37.52925","2022-03-06 10:57:52.0"
"GS060060","강서구","화곡1동","화곡동 923-3","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84141","37.528954","2022-03-06 10:57:52.0"
"GS060061","강서구","화곡1동","화곡1동 927-6","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84152","37.52841","2022-03-06 10:57:52.0"
"GS060062","강서구","화곡1동","화곡1동 936-4","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84014","37.528904","2022-03-06 10:57:52.0"
"GS060063","강서구","화곡1동","화곡동 922-13","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84017","37.529366","2022-03-06 10:57:52.0"
"GS060064","강서구","화곡1동","화곡동 911-3","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84433","37.5283","2022-03-06 10:57:52.0"
"GS060065","강서구","화곡1동","화곡1동 910-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84578","37.528427","2022-03-06 10:57:52.0"
"GS060066","강서구","화곡1동","화곡동 904-13","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.847305","37.528774","2022-03-06 10:57:52.0"
"GS060068","강서구","화곡1동","강서로 63","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.845665","37.533226","2022-03-06 10:57:52.0"
"GS060069","강서구","화곡1동","강서로 55","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.846016","37.532646","2022-03-06 10:57:52.0"
"GS060070","강서구","화곡1동","강서로 47","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84648","37.53188","2022-03-06 10:57:52.0"
"GS060071","강서구","화곡1동","강서로 43-17","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84701","37.53101","2022-03-06 10:57:52.0"
"GS060073","강서구","화곡1동","가로공원로76길 75","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83842","37.5337","2022-03-06 10:57:52.0"
"GS060074","강서구","화곡1동","가로공원로76길 100","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83879","37.533085","2022-03-06 10:57:52.0"
"GS060075","강서구","화곡1동","강서로17길 101","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.840355","37.532333","2022-03-06 10:57:52.0"
"GS060076","강서구","화곡1동","강서로5나길 94","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.843025","37.528477","2022-03-06 10:57:52.0"
"GS060077","강서구","화곡1동","곰달래로 109","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8448","37.53052","2022-03-06 10:57:52.0"
"GS060078","강서구","화곡1동","곰달래로 119","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84607","37.530605","2022-03-06 10:57:52.0"
"GS060079","강서구","화곡1동","곰달래로 125","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84669","37.53064","2022-03-06 10:57:52.0"
"GS060080","강서구","초롱어린이공원","화곡동 1088-16","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83624","37.538116","2022-03-06 10:57:52.0"
"GS060081","강서구","다운어린이공원","화곡동 346-26","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84484","37.53206","2022-03-06 10:57:52.0"
"GS060082","강서구","버들어린이공원","화곡동 424-45","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84141","37.53121","2022-03-06 10:57:52.0"
"GS060083","강서구","효심어린이공원","화곡동 922-10","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84058","37.529594","2022-03-06 10:57:52.0"
"GS060084","강서구","화곡1동","가로공원로 219-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.840294","37.53795","2022-03-06 10:57:52.0"
"GS060085","강서구","화곡1동","가로공원로 183","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83625","37.53726","2022-03-06 10:57:52.0"
"GS060086","강서구","화곡1동","가로공원로 187","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83668","37.537342","2022-03-06 10:57:52.0"
"GS060087","강서구","화곡1동","화곡동 425-4(지상3층 프로그램실)","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2020","실내","","126.84158","37.530464","2022-03-06 10:57:52.0"
"GS060088","강서구","문화대로공원","화곡동 662-12","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84145","37.53814","2022-03-06 10:57:52.0"
"GS060089","강서구","문화대로공원","화곡동 662-12","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84145","37.53814","2022-03-06 10:57:52.0"
"GS060090","강서구","문화대로공원","화곡동 662-12","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84145","37.53814","2022-03-06 10:57:52.0"
"GS060091","강서구","문화대로공원","화곡동 662-12","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84145","37.53814","2022-03-06 10:57:52.0"
"GS060092","강서구","문화대로공원","화곡동 662-12","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84145","37.53814","2022-03-06 10:57:52.0"
"GS060093","강서구","문화대로공원","화곡동 662-12","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84145","37.53814","2022-03-06 10:57:52.0"
"GS070003","강서구","화곡2동","화곡2동 860-4  1층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.85445","37.53205","2022-03-06 10:57:52.0"
"GS070004","강서구","화곡2동","화곡2동 860-4  2층 옹달샘작은도서관","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.838326","37.542736","2022-03-06 10:57:52.0"
"GS070005","강서구","화곡2동","화곡2동 860-4  지하헬스장","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.838326","37.542736","2022-03-06 10:57:52.0"
"GS070006","강서구","화곡2동","화곡2동 860-4  정면 2층  외벽","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.85436","37.531796","2022-03-06 10:57:52.0"
"GS070007","강서구","화곡2동","화곡2동 860-4  후면 2층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.85459","37.531815","2022-03-06 10:57:52.0"
"GS070009","강서구","화곡2동","화곡2동 875-8 CCTV(16183 버스정류장 옆 가로등)","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85264","37.53094","2022-03-06 10:57:52.0"
"GS070012","강서구","화곡2동","곰달래로 211","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85657","37.53157","2022-03-06 10:57:52.0"
"GS070013","강서구","화곡2동","곰달래로 219","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85763","37.531704","2022-03-06 10:57:52.0"
"GS070014","강서구","화곡2동","화곡2동 167-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85173","37.53659","2022-03-06 10:57:52.0"
"GS070015","강서구","화곡2동","화곡동 160-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85311","37.536182","2022-03-06 10:57:52.0"
"GS070016","강서구","화곡2동","화곡동 461-4","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85392","37.537052","2022-03-06 10:57:52.0"
"GS070017","강서구","화곡2동","화곡동 163-7","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85115","37.535084","2022-03-06 10:57:52.0"
"GS070018","강서구","화곡2동","화곡동 457-48","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85424","37.53526","2022-03-06 10:57:52.0"
"GS070019","강서구","화곡2동","화곡동 161-7","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85376","37.53438","2022-03-06 10:57:52.0"
"GS070020","강서구","화곡2동","화곡동 452-33","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85233","37.534367","2022-03-06 10:57:52.0"
"GS070021","강서구","화곡2동","화곡동 869-8","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8538","37.53355","2022-03-06 10:57:52.0"
"GS070022","강서구","화곡2동","화곡동 869-42","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.851944","37.533443","2022-03-06 10:57:52.0"
"GS070023","강서구","화곡2동","화곡동 158-18","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85128","37.53255","2022-03-06 10:57:52.0"
"GS070024","강서구","화곡2동","화곡동 871-35(신정초)","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85186","37.53187","2022-03-06 10:57:52.0"
"GS070027","강서구","화곡2동","화곡동 836-14","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85721","37.532536","2022-03-06 10:57:52.0"
"GS070028","강서구","화곡2동","화곡동 847-14","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.856544","37.530773","2022-03-06 10:57:52.0"
"GS070029","강서구","화곡2동","화곡동856-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85372","37.530457","2022-03-06 10:57:52.0"
"GS070030","강서구","화곡2동","화곡2동 882-25","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85149","37.530167","2022-03-06 10:57:52.0"
"GS070031","강서구","화곡2동","화곡동 879-6","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.851585","37.529682","2022-03-06 10:57:52.0"
"GS070032","강서구","화곡2동","화곡동 852-20","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85512","37.530098","2022-03-06 10:57:52.0"
"GS070033","강서구","화곡2동","화곡동 887-11","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85172","37.529007","2022-03-06 10:57:52.0"
"GS070034","강서구","화곡2동","화곡동 885-6","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8532","37.529167","2022-03-06 10:57:52.0"
"GS070035","강서구","화곡2동","화곡동 885-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85418","37.529278","2022-03-06 10:57:52.0"
"GS070036","강서구","화곡2동","화곡동 854-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8552","37.52942","2022-03-06 10:57:52.0"
"GS070037","강서구","화곡2동","화곡동 845-17","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.85664","37.529587","2022-03-06 10:57:52.0"
"GS070038","강서구","화곡2동","화곡동 893-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.84936","37.529385","2022-03-06 10:57:52.0"
"GS070039","강서구","화곡2동","화곡동 860-4(지상3층 다목적실)","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2020","실내","","126.85441","37.53186","2022-03-06 10:57:52.0"
"GS080005","강서구","화곡3동","화곡3동 1050-3  B1층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.838326","37.542736","2022-03-06 10:57:52.0"
"GS080006","강서구","화곡3동","화곡3동 1050-3  2층 책마루작은도서관","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2015","실내","","126.838326","37.542736","2022-03-06 10:57:52.0"
"GS080007","강서구","화곡3동","화곡3동 1050-3  2층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2015","실내","","126.8607","37.534554","2022-03-06 10:57:52.0"
"GS080008","강서구","화곡3동","화곡3동 1050-3  1층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2008","실내","","126.8607","37.534554","2022-03-06 10:57:52.0"
"GS080009","강서구","화곡3동","화곡3동 1050-3  후면 2층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.83844","37.54243","2022-03-06 10:57:52.0"
"GS080018","강서구","푸른들청소년도서관","화곡3동 1019  정면 2층","","","4. 문화관광체육시설","자치구","공공WiFi","자가망U무선망","2019","실외","","126.83506","37.544666","2022-03-06 10:57:52.0"
"GS080019","강서구","푸른들청소년도서관","화곡3동 1019  도서관","","","4. 문화관광체육시설","자치구","공공WiFi","자가망U무선망","2019","실외","","126.835175","37.54471","2022-03-06 10:57:52.0"
"GS080020","강서구","화곡3동","강서로45길 49 CU편의점","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.833336","37.54789","2022-03-06 10:57:52.0"
"GS080021","강서구","화곡3동","강서로 215-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83694","37.54503","2022-03-06 10:57:52.0"
"GS080022","강서구","화곡3동","강서로 207","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83753","37.544376","2022-03-06 10:57:52.0"
"GS080023","강서구","화곡3동","강서로 199","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.838264","37.543617","2022-03-06 10:57:52.0"
"GS080024","강서구","화곡3동","강서로 187","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83898","37.542946","2022-03-06 10:57:52.0"
"GS080025","강서구","화곡3동","화곡동 1089-40(화곡역 8번 출구 앞)","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.839836","37.54206","2022-03-06 10:57:52.0"
"GS080026","강서구","화곡3동","화곡로 161","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.839325","37.541477","2022-03-06 10:57:52.0"
"GS080027","강서구","화곡3동","화곡로25길 2","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83868","37.541283","2022-03-06 10:57:52.0"
"GS080028","강서구","화곡3동","화곡로 143","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83766","37.541023","2022-03-06 10:57:52.0"
"GS080029","강서구","화곡3동","화곡동 1091-10","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83317","37.54739","2022-03-06 10:57:52.0"
"GS080030","강서구","화곡3동","화곡동1009-8","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.834854","37.54708","2022-03-06 10:57:52.0"
"GS080031","강서구","화곡3동","화곡동 1014-35","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.835495","37.546047","2022-03-06 10:57:52.0"
"GS080032","강서구","화곡3동","화곡로13길 90-53","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83485","37.54432","2022-03-06 10:57:52.0"
"GS080033","강서구","화곡3동","화곡동 1024-16","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83633","37.544846","2022-03-06 10:57:52.0"
"GS080034","강서구","화곡3동","화곡동 1020-17","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.836205","37.544243","2022-03-06 10:57:52.0"
"GS080035","강서구","화곡3동","화곡동 1032","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83698","37.544315","2022-03-06 10:57:52.0"
"GS080036","강서구","화곡3동","화곡동 1033-43","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83752","37.54369","2022-03-06 10:57:52.0"
"GS080037","강서구","화곡3동","화곡동 1036-12","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83642","37.543377","2022-03-06 10:57:52.0"
"GS080038","강서구","화곡3동","화곡동 1020-3","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83524","37.54366","2022-03-06 10:57:52.0"
"GS080039","강서구","화곡3동","화곡동 1046","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83485","37.542526","2022-03-06 10:57:52.0"
"GS080040","강서구","화곡3동","화곡동 1049","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.837234","37.542713","2022-03-06 10:57:52.0"
"GS080041","강서구","화곡3동","화곡동 1051","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.838356","37.542812","2022-03-06 10:57:52.0"
"GS080042","강서구","화곡3동","화곡동 1065-19","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.83927","37.542034","2022-03-06 10:57:52.0"
